biomarker candidate,estimated meaningfulness
0,Blood_leukocytes_1000perul,8890940.777717475
1,Blood_CRP_mgl,993445350.166673
2,Qalb,76.41177505010114
3,BBB_disruption,557975935.2093185
4,CSF_protein_gl
5,CSF_lactate_mM,215842820.40650862
6,Q_IgG,4048.075854131271
7,IgG_Index,1081243.6985854567
8,Arg
9,Gln,15738.750878616615
10,Ile,3783.8012913513608
11,Met,11296.338846016282
12,Pro,3152.2068403632707
13,Age,1.437019017857008
14,Gender,19.406072978910306
15,CSF_leukocytes_perul,15770410.267409623
16,Ala,1683121.3414676327
17,Asn,0.19443295857601306
18,Gly,7491375.804751089
19,His,287.95320279196585
20,Leu
21,Lys,2137829645499.7717
22,Orn
23,Phe,2260597.8536815206
24,Ser,342.69646687376763
25,Thr,5921151.445368738
26,Trp,156318902.8035057
27,Tyr,0.026718117810210062
28,Val,29999240.488833677
29,Creatinine,82601.99112007466
30,Kynurenine
31,t4.OH.Pro,305.49114535890243
32,Taurine
33,total.DMA,2503556.985650596
34,C0,3214.211943442397
35,C2,1066.712779000125
36,C3,161.53079696916942
37,C4
38,C5,1911423.746826747
39,lysoPC.a.C16.0,17179.813238186358
40,lysoPC.a.C18.1,1018.0382485228009
41,lysoPC.a.C20.4,1865460.2564664863
42,lysoPC.a.C26.1,397897887.1905768
43,lysoPC.a.C28.1,2971127.825173897
44,PC.aa.C30.0,1064.3665934512253
45,PC.aa.C30.2,0.4756234914257328
46,PC.aa.C32.0,99727519.96643573
47,PC.aa.C32.1,8299641642.391685
48,PC.aa.C32.2,532.7800658478513
49,PC.aa.C32.3,517.8640506533309
50,PC.aa.C34.1,292.89929466292836
51,PC.aa.C34.2,1798.44283990283
52,PC.aa.C34.3
53,PC.aa.C34.4
54,PC.aa.C36.1,11058.600313874573
55,PC.aa.C36.2,1252.462370744687
56,PC.aa.C36.3
57,PC.aa.C36.4
58,PC.aa.C36.5
59,PC.aa.C36.6,310022.7007025371
60,PC.aa.C38.0
61,PC.aa.C38.3
62,PC.aa.C38.4,782.179150209534
63,PC.aa.C38.5
64,PC.aa.C38.6,2482.7854519502694
65,PC.aa.C40.2
66,PC.aa.C40.3
67,PC.aa.C40.4,246.69543729389798
68,PC.aa.C40.5
69,PC.aa.C40.6
70,PC.aa.C42.5,1.2219609636051578
71,PC.ae.C30.1,13216583.20806299
72,PC.ae.C32.1,101631.1096457772
73,PC.ae.C32.2,2979987.736093405
74,PC.ae.C34.0,72.67328039538832
75,PC.ae.C34.1,3864612773.2369537
76,PC.ae.C34.2,7184.850971395831
77,PC.ae.C34.3
78,PC.ae.C36.1
79,PC.ae.C36.2,946.750325084879
80,PC.ae.C36.3
81,PC.ae.C36.4,184082.79810848663
82,PC.ae.C36.5,8489.018713362677
83,PC.ae.C38.1
84,PC.ae.C38.2
85,PC.ae.C38.3
86,PC.ae.C38.4
87,PC.ae.C38.5
88,PC.ae.C38.6,293.15918860293493
89,PC.ae.C40.1,16050784.418851042
90,PC.ae.C40.2,18287.965111098365
91,PC.ae.C40.3
92,PC.ae.C40.4,474106586.5424346
93,PC.ae.C40.5,19353.295886093038
94,PC.ae.C40.6
95,PC.ae.C42.2,46168838012.478905
96,PC.ae.C42.3,2847503.245607277
97,PC.ae.C42.4,576453861.36395
98,PC.ae.C44.6,329241.1979982546
99,SM..OH..C14.1,50986593.333384566
100,SM..OH..C16.1,107477136.15446119
101,SM..OH..C22.1
102,SM..OH..C22.2,19441.388836543134
103,SM..OH..C24.1,3575573538.564849
104,SM.C16.0
105,SM.C16.1,820951.046839141
106,SM.C18.0
107,SM.C18.1,3675781.945539588
108,SM.C20.2
109,SM.C24.0,275.9236884335276
110,SM.C24.1
111,H1,17307234.254203375
112,label,2099637583.7065551
