biomarker candidate,estimated meaningfulness
0,Blood_leukocytes_1000perul,289086074.71647805
1,Blood_CRP_mgl,383907339.92401016
2,Qalb
3,BBB_disruption,1343.4156289351567
4,CSF_protein_gl
5,CSF_lactate_mM,1057021926.979002
6,Q_IgG
7,IgG_Index,85983484969.02013
8,Arg
9,Gln,0.6842306839536951
10,Ile
11,Met
12,Pro
13,Age
14,Gender
15,CSF_leukocytes_perul
16,Ala
17,Asn
18,Gly
19,His
20,Leu
21,Lys,13.035881124286387
22,Orn
23,Phe,0.7139508495263529
24,Ser
25,Thr
26,Trp
27,Tyr,0.008222044884127025
28,Val
29,Creatinine
30,Kynurenine
31,t4.OH.Pro,0.0028807852758457805
32,Taurine
33,total.DMA
34,C0
35,C2
36,C3
37,C4
38,C5
39,lysoPC.a.C16.0
40,lysoPC.a.C18.1
41,lysoPC.a.C20.4
42,lysoPC.a.C26.1,978792.1619569238
43,lysoPC.a.C28.1,0.23140153752587736
44,PC.aa.C30.0
45,PC.aa.C30.2,1.2509634542946504
46,PC.aa.C32.0,6.088576960025555
47,PC.aa.C32.1,0.010707135233809081
48,PC.aa.C32.2
49,PC.aa.C32.3
50,PC.aa.C34.1
51,PC.aa.C34.2
52,PC.aa.C34.3
53,PC.aa.C34.4
54,PC.aa.C36.1
55,PC.aa.C36.2
56,PC.aa.C36.3
57,PC.aa.C36.4
58,PC.aa.C36.5
59,PC.aa.C36.6
60,PC.aa.C38.0
61,PC.aa.C38.3
62,PC.aa.C38.4
63,PC.aa.C38.5
64,PC.aa.C38.6
65,PC.aa.C40.2
66,PC.aa.C40.3
67,PC.aa.C40.4
68,PC.aa.C40.5
69,PC.aa.C40.6
70,PC.aa.C42.5
71,PC.ae.C30.1
72,PC.ae.C32.1
73,PC.ae.C32.2,2.0311967713971457
74,PC.ae.C34.0
75,PC.ae.C34.1,2173144673.579248
76,PC.ae.C34.2
77,PC.ae.C34.3
78,PC.ae.C36.1
79,PC.ae.C36.2
80,PC.ae.C36.3
81,PC.ae.C36.4
82,PC.ae.C36.5
83,PC.ae.C38.1
84,PC.ae.C38.2
85,PC.ae.C38.3
86,PC.ae.C38.4
87,PC.ae.C38.5
88,PC.ae.C38.6
89,PC.ae.C40.1
90,PC.ae.C40.2
91,PC.ae.C40.3
92,PC.ae.C40.4
93,PC.ae.C40.5
94,PC.ae.C40.6
95,PC.ae.C42.2
96,PC.ae.C42.3
97,PC.ae.C42.4,945520806.7833974
98,PC.ae.C44.6,171354587.04686037
99,SM..OH..C14.1
100,SM..OH..C16.1
101,SM..OH..C22.1
102,SM..OH..C22.2
103,SM..OH..C24.1
104,SM.C16.0
105,SM.C16.1
106,SM.C18.0
107,SM.C18.1
108,SM.C20.2
109,SM.C24.0
110,SM.C24.1
111,H1,45325.682020270615
112,label,9255510.744227955
